Randomizer Version: 4.6.1
Random Seed: 187049508651317
Settings String: 322IwgkEgIBAAQABwAEAAKoJBkCKgEAFAAVCQABEAAAAD8AAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieSV6q0zjwziK

--Move Updates--
Made Tackle have 40 power
Made Thunder Wave have 90% accuracy
Made Leech Life have 80 power and 10 PP
Made Swagger have 85% accuracy
Made Sucker Punch have 70 power
Made Dark Void have 50% accuracy
Made Flying Press have 100 power
Made Fell Stinger have 50 power
Made Parabolic Charge have 65 power
Made Water Shuriken a Special move
Made Mystical Fire have 75 power

--Pokemon Base Stats & Types--
NUM|NAME            |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ABILITY1      |ABILITY2      |ABILITY3      |ITEM
 58|Growlithe       |FIRE             |  55|  70|  45|  70|  50|  60|Cute Charm    |Stench        |Flower Veil   |
 59|Arcanine        |FIRE             |  90| 110|  80| 100|  80|  95|Plus          |--            |Huge Power    |Energy Root (rare)
 60|Poliwag         |WATER            |  40|  50|  40|  40|  40|  90|Frisk         |--            |Keen Eye      |
 61|Poliwhirl       |WATER            |  65|  65|  65|  50|  50|  90|Weak Armor    |Iron Barbs    |Solar Power   |Luxury Ball (rare)
 62|Poliwrath       |WATER/FIGHTING   |  90|  95|  95|  70|  90|  70|Thick Fat     |Symbiosis     |Solid Rock    |Moon Stone (100%)
 63|Abra            |PSYCHIC          |  25|  20|  15| 105|  55|  90|Marvel Scale  |Shed Skin     |Analytic      |
 64|Kadabra         |PSYCHIC          |  40|  35|  30| 120|  70| 105|Shield Dust   |--            |Defiant       |Black Flute (100%)
 65|Alakazam        |PSYCHIC          |  55|  50|  45| 135|  95| 120|Rain Dish     |Flower Veil   |Shield Dust   |
 66|Machop          |FIGHTING         |  70|  80|  50|  35|  35|  35|Bulletproof   |--            |Hustle        |Cell Battery (rare)
 67|Machoke         |FIGHTING         |  80| 100|  70|  50|  60|  45|Mummy         |--            |Heatproof     |Garchompite (rare)
 68|Machamp         |FIGHTING         |  90| 130|  80|  65|  85|  55|Liquid Ooze   |--            |Cloud Nine    |
 69|Bellsprout      |GRASS/POISON     |  50|  75|  35|  70|  30|  40|Healer        |--            |Tinted Lens   |
 70|Weepinbell      |GRASS/POISON     |  65|  90|  50|  85|  45|  55|Cursed Body   |Aftermath     |Flame Body    |Comet Shard (100%)
 71|Victreebel      |GRASS/POISON     |  80| 105|  65| 100|  70|  70|Hydration     |Moxie         |Analytic      |
 72|Tentacool       |WATER/POISON     |  40|  40|  35|  50| 100|  70|Immunity      |--            |Mummy         |Fist Plate (common)
 73|Tentacruel      |WATER/POISON     |  80|  70|  65|  80| 120| 100|Defeatist     |--            |Wonder Skin   |
 74|Geodude         |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|Bad Dreams    |Toxic Boost   |Imposter      |Blazikenite (common)
 75|Graveler        |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|Sand Stream   |--            |Rock Head     |
 76|Golem           |ROCK/GROUND      |  80| 120| 130|  55|  65|  45|Symbiosis     |--            |Frisk         |Lansat Berry (rare)
 77|Ponyta          |FIRE             |  50|  85|  55|  65|  65|  90|Infiltrator   |--            |Frisk         |
 78|Rapidash        |FIRE             |  65| 100|  70|  80|  80| 105|Contrary      |Hyper Cutter  |Skill Link    |
 79|Slowpoke        |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|Cloud Nine    |Cheek Pouch   |Heavy Metal   |Razor Claw (common)
 80|Slowbro         |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|Aftermath     |Harvest       |Parental Bond |
 81|Magnemite       |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|Liquid Ooze   |--            |Rivalry       |
 82|Magneton        |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|Light Metal   |--            |Suction Cups  |
 83|Farfetch’d      |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|Insomnia      |Flash Fire    |Air Lock      |
 84|Doduo           |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|Cloud Nine    |Limber        |Shed Skin     |Water Stone (rare)
 85|Dodrio          |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|Forewarn      |--            |Ice Body      |
 86|Seel            |WATER            |  65|  45|  55|  45|  70|  45|Unaware       |--            |Steadfast     |
 87|Dewgong         |WATER/ICE        |  90|  70|  80|  70|  95|  70|Intimidate    |--            |Natural Cure  |Insect Plate (common), Skull Fossil (rare)
 88|Grimer          |POISON           |  80|  80|  50|  40|  50|  25|Own Tempo     |Reckless      |Oblivious     |
 89|Muk             |POISON           | 105| 105|  75|  65| 100|  50|Gale Wings    |Frisk         |Simple        |Damp Rock (common), Big Nugget (rare)
 90|Shellder        |WATER            |  30|  65| 100|  45|  25|  40|Unburden      |--            |Clear Body    |
 91|Cloyster        |WATER/ICE        |  50|  95| 180|  85|  45|  70|Rivalry       |Competitive   |Storm Drain   |
 92|Gastly          |GHOST/POISON     |  30|  35|  30| 100|  35|  80|Cloud Nine    |--            |Telepathy     |Ultra Ball (100%)
 93|Haunter         |GHOST/POISON     |  45|  50|  45| 115|  55|  95|Telepathy     |Klutz         |Clear Body    |Dive Ball (common), Stardust (rare)
 94|Gengar          |GHOST/POISON     |  60|  65|  60| 130|  75| 110|Friend Guard  |Blaze         |Sturdy        |
 95|Onix            |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|Drought       |--            |Drizzle       |Destiny Knot (100%)
 96|Drowzee         |PSYCHIC          |  60|  48|  45|  43|  90|  42|Air Lock      |--            |Pickup        |
 97|Hypno           |PSYCHIC          |  85|  73|  70|  73| 115|  67|Victory Star  |--            |Gluttony      |
 98|Krabby          |WATER            |  30| 105|  90|  25|  25|  50|Unburden      |Synchronize   |Tangled Feet  |Maranga Berry (common)
 99|Kingler         |WATER            |  55| 130| 115|  50|  50|  75|Color Change  |Mummy         |Healer        |
100|Voltorb         |ELECTRIC         |  40|  30|  50|  55|  55| 100|Normalize     |--            |Poison Point  |Yellow Flute (rare)
101|Electrode       |ELECTRIC         |  60|  50|  70|  80|  80| 140|Bad Dreams    |--            |Hustle        |
102|Exeggcute       |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|Refrigerate   |Flare Boost   |Poison Heal   |Quick Ball (rare)
103|Exeggutor       |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|Poison Touch  |Marvel Scale  |Huge Power    |Tanga Berry (common)
104|Cubone          |GROUND           |  50|  50|  95|  40|  50|  35|Mega Launcher |--            |Filter        |Quick Ball (rare)
105|Marowak         |GROUND           |  60|  80| 110|  50|  80|  45|Overgrow      |Plus          |Technician    |Medichamite (common)
106|Hitmonlee       |FIGHTING         |  50| 120|  53|  35| 110|  87|Aura Break    |--            |Technician    |Magnet (common), Rare Candy (rare)
107|Hitmonchan      |FIGHTING         |  50| 105|  79|  35| 110|  76|Forewarn      |Download      |Ice Body      |
108|Lickitung       |NORMAL           |  90|  55|  75|  60|  75|  30|Gale Wings    |Hyper Cutter  |Torrent       |
109|Koffing         |POISON           |  40|  65|  95|  60|  45|  35|Heavy Metal   |Inner Focus   |Huge Power    |Net Ball (common), Enigma Berry (rare)
110|Weezing         |POISON           |  65|  90| 120|  85|  70|  60|Ice Body      |--            |Light Metal   |Deep Sea Scale (rare)
111|Rhyhorn         |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|Sticky Hold   |Imposter      |Grass Pelt    |
112|Rhydon          |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|Wonder Skin   |--            |Intimidate    |Dusk Ball (common), Plume Fossil (rare)
113|Chansey         |NORMAL           | 250|   5|   5|  35| 105|  50|Truant        |Sand Stream   |Inner Focus   |Aggronite (common)
114|Tangela         |GRASS            |  65|  55| 115| 100|  40|  60|Fur Coat      |Guts          |Dry Skin      |
115|Kangaskhan      |NORMAL           | 105|  95|  80|  40|  80|  90|Snow Warning  |Clear Body    |Serene Grace  |
116|Horsea          |WATER            |  30|  40|  70|  70|  25|  60|Simple        |--            |Fur Coat      |
117|Seadra          |WATER            |  55|  65|  95|  95|  45|  85|Pickpocket    |Victory Star  |Intimidate    |
118|Goldeen         |WATER            |  45|  67|  60|  35|  50|  63|Swift Swim    |Levitate      |Rain Dish     |
119|Seaking         |WATER            |  80|  92|  65|  65|  80|  68|Rock Head     |--            |Teravolt      |
120|Staryu          |WATER            |  30|  45|  55|  70|  55|  85|Aroma Veil    |Adaptability  |Telepathy     |
121|Starmie         |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|Immunity      |Blaze         |Mega Launcher |Draco Plate (common), Wave Incense (rare)
122|Mr. Mime        |PSYCHIC/FAIRY    |  40|  45|  65| 100| 120|  90|Aura Break    |Simple        |Synchronize   |Flame Orb (common), Soft Sand (rare)
123|Scyther         |BUG/FLYING       |  70| 110|  80|  55|  80| 105|Hustle        |--            |Flower Veil   |White Flute (rare)
124|Jynx            |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|Tangled Feet  |--            |Magic Bounce  |
125|Electabuzz      |ELECTRIC         |  65|  83|  57|  95|  85| 105|Pickpocket    |Ice Body      |Strong Jaw    |Black Flute (common), Shalour Sable (rare)
126|Magmar          |FIRE             |  65|  95|  57| 100|  85|  93|Stall         |--            |Infiltrator   |
127|Pinsir          |BUG              |  65| 125| 100|  55|  70|  85|Flame Body    |--            |Huge Power    |
128|Tauros          |NORMAL           |  75| 100|  95|  40|  70| 110|Iron Fist     |Oblivious     |Natural Cure  |
129|Magikarp        |WATER            |  20|  10|  55|  15|  20|  80|Sweet Veil    |--            |Contrary      |
130|Gyarados        |WATER/FLYING     |  95| 125|  79|  60| 100|  81|Contrary      |Aroma Veil    |Motor Drive   |
131|Lapras          |WATER/ICE        | 130|  85|  80|  85|  95|  60|Own Tempo     |Drizzle       |Mega Launcher |Earth Plate (100%)
132|Ditto           |NORMAL           |  48|  48|  48|  48|  48|  48|Stall         |--            |Illusion      |
133|Eevee           |NORMAL           |  55|  55|  50|  45|  65|  55|Flash Fire    |Dark Aura     |Scrappy       |Aerodactylite (100%)
134|Vaporeon        |WATER            | 130|  65|  60| 110|  95|  65|Skill Link    |Aerilate      |Steadfast     |Aggronite (common), Timer Ball (rare)
135|Jolteon         |ELECTRIC         |  65|  65|  60| 110|  95| 130|Inner Focus   |--            |Thick Fat     |
136|Flareon         |FIRE             |  65| 130|  60|  95| 110|  65|Imposter      |--            |Friend Guard  |Aggronite (common)
137|Porygon         |NORMAL           |  65|  60|  70|  85|  75|  40|Harvest       |Flash Fire    |Rattled       |Draco Plate (common)
138|Omanyte         |ROCK/WATER       |  35|  40| 100|  90|  55|  35|Analytic      |--            |Parental Bond |Luck Incense (rare)
139|Omastar         |ROCK/WATER       |  70|  60| 125| 115|  70|  55|Swift Swim    |--            |Snow Warning  |Rage Candy Bar (common), Pixie Plate (rare)
140|Kabuto          |ROCK/WATER       |  30|  80|  90|  55|  45|  55|Guts          |Filter        |Solid Rock    |Zinc (common), Whipped Dream (rare)
141|Kabutops        |ROCK/WATER       |  60| 115| 105|  65|  70|  80|Guts          |Bad Dreams    |Intimidate    |Tiny Mushroom (common), Dawn Stone (rare)
142|Aerodactyl      |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|Normalize     |--            |Iron Fist     |Occa Berry (common)
143|Snorlax         |NORMAL           | 160| 110|  65|  65| 110|  30|Marvel Scale  |Technician    |Filter        |Casteliacone (100%)
144|Articuno        |ICE/FLYING       |  90|  85| 100|  95| 125|  85|Clear Body    |Damp          |Chlorophyll   |
145|Zapdos          |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|Shell Armor   |--            |Snow Warning  |
146|Moltres         |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|Vital Spirit  |--            |Natural Cure  |Ampharosite (common)
147|Dratini         |DRAGON           |  41|  64|  45|  50|  50|  50|Contrary      |Flower Veil   |Oblivious     |
148|Dragonair       |DRAGON           |  61|  84|  65|  70|  70|  70|Victory Star  |Dark Aura     |Forewarn      |
149|Dragonite       |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|Rattled       |Aftermath     |Rain Dish     |Haban Berry (common), Passho Berry (rare)
150|Mewtwo          |PSYCHIC          | 106| 110|  90| 154|  90| 130|Telepathy     |Gluttony      |No Guard      |
151|Mew             |PSYCHIC          | 100| 100| 100| 100| 100| 100|Poison Touch  |Huge Power    |Cloud Nine    |Red Flute (100%)
152|Chikorita       |GRASS            |  45|  49|  65|  49|  65|  45|Illusion      |Simple        |Teravolt      |
153|Bayleef         |GRASS            |  60|  62|  80|  63|  80|  60|Forewarn      |--            |Klutz         |Kebia Berry (common), Jaboca Berry (rare)
154|Meganium        |GRASS            |  80|  82| 100|  83| 100|  80|Contrary      |--            |Anger Point   |Latiosite (rare)
155|Cyndaquil       |FIRE             |  39|  52|  43|  60|  50|  65|Magic Bounce  |Air Lock      |Own Tempo     |
156|Quilava         |FIRE             |  58|  64|  58|  80|  65|  80|Stall         |--            |Swift Swim    |Lansat Berry (100%)
157|Typhlosion      |FIRE             |  78|  84|  78| 109|  85| 100|Aftermath     |Hyper Cutter  |Imposter      |
158|Totodile        |WATER            |  50|  65|  64|  44|  48|  43|Overgrow      |--            |Symbiosis     |Quick Claw (common), Poison Gem (rare)
159|Croconaw        |WATER            |  65|  80|  80|  59|  63|  58|Insomnia      |Swarm         |Frisk         |Scope Lens (common)
160|Feraligatr      |WATER            |  85| 105| 100|  79|  83|  78|Natural Cure  |Sticky Hold   |Normalize     |Snowball (common), Dome Fossil (rare)
161|Sentret         |NORMAL           |  35|  46|  34|  35|  45|  20|Rivalry       |Imposter      |Color Change  |
162|Furret          |NORMAL           |  85|  76|  64|  45|  55|  90|Grass Pelt    |--            |Defiant       |Charti Berry (rare)
163|Hoothoot        |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|Speed Boost   |--            |Suction Cups  |Chilan Berry (common)
164|Noctowl         |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|Sap Sipper    |Solar Power   |Gooey         |Steel Gem (rare)
165|Ledyba          |BUG/FLYING       |  40|  20|  30|  40|  80|  55|Huge Power    |--            |Cursed Body   |Sacred Ash (100%)
166|Ledian          |BUG/FLYING       |  55|  35|  50|  55| 110|  85|Water Veil    |--            |Flame Body    |Master Ball (common)
167|Spinarak        |BUG/POISON       |  40|  60|  40|  40|  40|  30|Aura Break    |--            |Sweet Veil    |
168|Ariados         |BUG/POISON       |  70|  90|  70|  60|  60|  40|Own Tempo     |Grass Pelt    |Rain Dish     |Spooky Plate (rare)
169|Crobat          |POISON/FLYING    |  85|  90|  80|  70|  80| 130|Pure Power    |Battle Armor  |Aura Break    |
170|Chinchou        |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|Sand Veil     |--            |Sniper        |
171|Lanturn         |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|Immunity      |Storm Drain   |Strong Jaw    |
172|Pichu           |ELECTRIC         |  20|  40|  15|  35|  35|  60|Big Pecks     |--            |Torrent       |Mystic Water (rare)
173|Cleffa          |FAIRY            |  50|  25|  28|  45|  55|  15|Telepathy     |--            |Early Bird    |
174|Igglybuff       |NORMAL/FAIRY     |  90|  30|  15|  40|  20|  15|Moody         |Cursed Body   |Flower Veil   |
175|Togepi          |FAIRY            |  35|  20|  65|  40|  65|  20|Rivalry       |--            |Cheek Pouch   |Lagging Tail (common)
176|Togetic         |FAIRY/FLYING     |  55|  40|  85|  80| 105|  40|Air Lock      |Inner Focus   |Suction Cups  |
177|Natu            |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|Huge Power    |Motor Drive   |Battle Armor  |Enigma Berry (common)
178|Xatu            |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|Guts          |Damp          |Vital Spirit  |Leppa Berry (common), Soothe Bell (rare)
179|Mareep          |ELECTRIC         |  55|  40|  40|  65|  45|  35|Mummy         |--            |Unaware       |Scope Lens (common)
180|Flaaffy         |ELECTRIC         |  70|  55|  55|  80|  60|  45|Rattled       |Run Away      |Victory Star  |Genius Wing (rare)
181|Ampharos        |ELECTRIC         |  90|  75|  85| 115|  90|  55|Heavy Metal   |--            |Hustle        |HP Up (rare)
182|Bellossom       |GRASS            |  75|  80|  95|  90| 100|  50|Overgrow      |Levitate      |Prankster     |King’s Rock (rare)
183|Marill          |WATER/FAIRY      |  70|  20|  50|  20|  50|  40|Damp          |Compound Eyes |Mega Launcher |Blue Flute (rare)
184|Azumarill       |WATER/FAIRY      | 100|  50|  80|  60|  80|  50|Strong Jaw    |Hyper Cutter  |Swarm         |Yache Berry (100%)
185|Sudowoodo       |ROCK             |  70| 100| 115|  30|  65|  30|Poison Heal   |--            |Defeatist     |Protector (common), Lucarionite (rare)
186|Politoed        |WATER            |  90|  75|  75|  90| 100|  70|Fur Coat      |Tough Claws   |Super Luck    |
187|Hoppip          |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|Symbiosis     |Anticipation  |Refrigerate   |
188|Skiploom        |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|Bad Dreams    |--            |Drought       |Moomoo Milk (100%)
189|Jumpluff        |GRASS/FLYING     |  75|  55|  70|  55|  95| 110|Aftermath     |Sheer Force   |Sweet Veil    |Rock Gem (100%)
190|Aipom           |NORMAL           |  55|  70|  55|  40|  55|  85|Sap Sipper    |Cheek Pouch   |Leaf Guard    |
191|Sunkern         |GRASS            |  30|  30|  30|  30|  30|  30|Teravolt      |--            |Shell Armor   |Salac Berry (common), X Accuracy (rare)
192|Sunflora        |GRASS            |  75|  75|  55| 105|  85|  30|Water Absorb  |--            |Dry Skin      |Cell Battery (common)
193|Yanma           |BUG/FLYING       |  65|  65|  45|  75|  45|  95|Run Away      |Own Tempo     |Poison Touch  |Black Sludge (common), Swift Wing (rare)
194|Wooper          |WATER/GROUND     |  55|  45|  45|  25|  25|  15|Flash Fire    |Victory Star  |Light Metal   |
195|Quagsire        |WATER/GROUND     |  95|  85|  85|  65|  65|  35|Plus          |--            |Light Metal   |Snowball (rare)
196|Espeon          |PSYCHIC          |  65|  65|  60| 130|  95| 110|Pixilate      |--            |Unburden      |Cheri Berry (100%)
197|Umbreon         |DARK             |  95|  65| 110|  60| 130|  65|Thick Fat     |--            |Dark Aura     |Toxic Plate (common), King’s Rock (rare)
198|Murkrow         |DARK/FLYING      |  60|  85|  42|  85|  42|  91|Overgrow      |Pickup        |Justified     |X Defense (rare)
199|Slowking        |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|Immunity      |Insomnia      |Reckless      |Colbur Berry (common), Charizardite Y (rare)
200|Misdreavus      |GHOST            |  60|  60|  60|  85|  85|  85|Liquid Ooze   |Pixilate      |Effect Spore  |Lum Berry (common)
201|Unown           |PSYCHIC          |  48|  72|  48|  72|  48|  48|Light Metal   |--            |Iron Barbs    |
202|Wobbuffet       |PSYCHIC          | 190|  33|  58|  33|  58|  33|Flame Body    |--            |Intimidate    |
203|Girafarig       |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|Overcoat      |--            |Gluttony      |
204|Pineco          |BUG              |  50|  65|  90|  35|  35|  15|Weak Armor    |Shed Skin     |Sweet Veil    |
205|Forretress      |BUG/STEEL        |  75|  90| 140|  60|  60|  40|Liquid Ooze   |Minus         |Immunity      |
206|Dunsparce       |NORMAL           | 100|  70|  70|  65|  65|  45|Unburden      |--            |Big Pecks     |
207|Gligar          |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|Mold Breaker  |--            |Normalize     |
208|Steelix         |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|Sand Veil     |--            |Gooey         |
209|Snubbull        |FAIRY            |  60|  80|  50|  40|  40|  30|Klutz         |Adaptability  |Magic Guard   |
