Randomizer Version: 4.6.1
Random Seed: 185627346158531
Settings String: 322IwgkEQIBAAQABwAEAAKoJBkCKgEAKgAVCQABAAAAAAMAAAAIMgQyAQAICTIHBwAyAAIQElBva2Vtb24gT21lZ2EgUnVieSnhlLfjwziK

--Move Updates--
Made RAZOR WIND have 100% accuracy
Made SWORDS DANCE have 20 PP
Made FLY have 90 power
Made BIND have 85% accuracy
Made VINE WHIP have 45 power and 25 PP
Made JUMP KICK have 100 power and 10 PP
Made TACKLE have 40 power and 100% accuracy
Made WRAP have 90% accuracy
Made THRASH have 120 power and 10 PP
Made PIN MISSILE have 25 power and 95% accuracy
Made DISABLE have 100% accuracy
Made FLAMETHROWER have 90 power
Made HYDRO PUMP have 110 power
Made SURF have 90 power
Made ICE BEAM have 90 power
Made BLIZZARD have 110 power
Made SUBMISSION have 20 PP
Made LOW KICK have 100% accuracy
Made ABSORB have 25 PP
Made MEGA DRAIN have 15 PP
Made GROWTH have 20 PP
Made PETAL DANCE have 120 power and 10 PP
Made FIRE SPIN have 35 power and 85% accuracy
Made THUNDERBOLT have 90 power
Made THUNDER WAVE have 90% accuracy
Made THUNDER have 110 power
Made DIG have 80 power
Made TOXIC have 90% accuracy
Made RECOVER have 10 PP
Made MINIMIZE have 10 PP
Made BARRIER have 20 PP
Made LICK have 30 power
Made SMOG have 30 power
Made FIRE BLAST have 110 power
Made CLAMP have 15 PP and 85% accuracy
Made SKULL BASH have 130 power and 10 PP
Made HI JUMP KICK have 130 power and 10 PP
Made GLARE have 100% accuracy
Made POISON GAS have 90% accuracy
Made LEECH LIFE have 80 power and 10 PP
Made BUBBLE have 40 power
Made FLASH have 100% accuracy
Made PSYWAVE have 100% accuracy
Made ACID ARMOR have 20 PP
Made CRABHAMMER have 100 power and 90% accuracy
Made THIEF have 60 power and 25 PP
Made SNORE have 50 power
Made CURSE be GHOST-type
Made COTTON SPORE have 100% accuracy
Made SCARY FACE have 100% accuracy
Made ZAP CANNON have 120 power
Made BONE RUSH have 90% accuracy
Made OUTRAGE have 120 power and 10 PP
Made GIGA DRAIN have 75 power and 10 PP
Made SWAGGER have 85% accuracy
Made FURY CUTTER have 40 power
Made FUTURE SIGHT have 120 power, 10 PP and 100% accuracy
Made ROCK SMASH have 40 power
Made WHIRLPOOL have 35 power and 85% accuracy

--Pokemon Base Stats & Types--
NUM|NAME      |TYPE             |  HP| ATK| DEF|SATK|SDEF| SPD|ITEM
 26|RAICHU       |ELECTRIC         |  60|  90|  55|  90|  80| 100|
 27|SANDSHREW    |GROUND           |  50|  75|  85|  20|  30|  40|METAL COAT (rare)
 28|SANDSLASH    |GROUND           |  75| 100| 110|  45|  55|  65|
 29|NIDORAN♀     |POISON           |  55|  47|  52|  40|  40|  41|GREAT BALL (rare)
 30|NIDORINA     |POISON           |  70|  62|  67|  55|  55|  56|RAGECANDYBAR (common)
 31|NIDOQUEEN    |POISON/GROUND    |  90|  82|  87|  75|  85|  76|IRON (common)
 32|NIDORAN♂     |POISON           |  46|  57|  40|  40|  40|  50|TM27 (common)
 33|NIDORINO     |POISON           |  61|  72|  57|  55|  55|  65|PEARL (common), SMOKE BALL (rare)
 34|NIDOKING     |POISON/GROUND    |  81|  92|  77|  85|  75|  85|MOON BALL (common)
 35|CLEFAIRY     |NORMAL           |  70|  45|  48|  60|  65|  35|
 36|CLEFABLE     |NORMAL           |  95|  70|  73|  85|  90|  60|
 37|VULPIX       |FIRE             |  38|  41|  40|  50|  65|  65|
 38|NINETALES    |FIRE             |  73|  76|  75|  81| 100| 100|POLKADOT BOW (common), HARD STONE (rare)
 39|JIGGLYPUFF   |NORMAL           | 115|  45|  20|  45|  25|  20|TM34 (common), RARE CANDY (rare)
 40|WIGGLYTUFF   |NORMAL           | 140|  70|  45|  75|  50|  45|
 41|ZUBAT        |POISON/FLYING    |  40|  45|  35|  30|  40|  55|TM10 (common), X SPECIAL (rare)
 42|GOLBAT       |POISON/FLYING    |  75|  80|  70|  65|  75|  90|TM01 (rare)
 43|ODDISH       |GRASS/POISON     |  45|  50|  55|  75|  65|  30|
 44|GLOOM        |GRASS/POISON     |  60|  65|  70|  85|  75|  40|FULL HEAL (common), CARBOS (rare)
 45|VILEPLUME    |GRASS/POISON     |  75|  80|  85| 100|  90|  50|TM49 (common)
 46|PARAS        |BUG/GRASS        |  35|  70|  55|  45|  55|  25|REVIVAL HERB (rare)
 47|PARASECT     |BUG/GRASS        |  60|  95|  80|  60|  80|  30|
 48|VENONAT      |BUG/POISON       |  60|  55|  50|  40|  55|  45|
 49|VENOMOTH     |BUG/POISON       |  70|  65|  60|  90|  75|  90|THUNDERSTONE (rare)
 50|DIGLETT      |GROUND           |  10|  55|  25|  35|  45|  95|STAR PIECE (common), MYSTERYBERRY (rare)
 51|DUGTRIO      |GROUND           |  35|  80|  50|  50|  70| 120|
 52|MEOWTH       |NORMAL           |  40|  45|  35|  40|  40|  90|
 53|PERSIAN      |NORMAL           |  65|  70|  60|  65|  65| 115|
 54|PSYDUCK      |WATER            |  50|  52|  48|  65|  50|  55|PROTEIN (common)
 55|GOLDUCK      |WATER            |  80|  82|  78|  95|  80|  85|EXP.SHARE (common), LEAF STONE (rare)
 56|MANKEY       |FIGHTING         |  40|  80|  35|  35|  45|  70|POLKADOT BOW (rare)
 57|PRIMEAPE     |FIGHTING         |  65| 105|  60|  60|  70|  95|TM14 (common), X DEFEND (rare)
 58|GROWLITHE    |FIRE             |  55|  70|  45|  70|  50|  60|
 59|ARCANINE     |FIRE             |  90| 110|  80| 100|  80|  95|POTION (common), BITTER BERRY (rare)
 60|POLIWAG      |WATER            |  40|  50|  40|  40|  40|  90|
 61|POLIWHIRL    |WATER            |  65|  65|  65|  50|  50|  90|SOFT SAND (common)
 62|POLIWRATH    |WATER/FIGHTING   |  90|  85|  95|  70|  90|  70|
 63|ABRA         |PSYCHIC          |  25|  20|  15| 105|  55|  90|TM25 (rare)
 64|KADABRA      |PSYCHIC          |  40|  35|  30| 120|  70| 105|
 65|ALAKAZAM     |PSYCHIC          |  55|  50|  45| 135|  85| 120|
 66|MACHOP       |FIGHTING         |  70|  80|  50|  35|  35|  35|TM02 (rare)
 67|MACHOKE      |FIGHTING         |  80| 100|  70|  50|  60|  45|
 68|MACHAMP      |FIGHTING         |  90| 130|  80|  65|  85|  55|X ACCURACY (common)
 69|BELLSPROUT   |GRASS/POISON     |  50|  75|  35|  70|  30|  40|
 70|WEEPINBELL   |GRASS/POISON     |  65|  90|  50|  85|  45|  55|UP-GRADE (common)
 71|VICTREEBEL   |GRASS/POISON     |  80| 105|  65| 100|  60|  70|
 72|TENTACOOL    |WATER/POISON     |  40|  40|  35|  50| 100|  70|UP-GRADE (rare)
 73|TENTACRUEL   |WATER/POISON     |  80|  70|  65|  80| 120| 100|BIG MUSHROOM (rare)
 74|GEODUDE      |ROCK/GROUND      |  40|  80| 100|  30|  30|  20|
 75|GRAVELER     |ROCK/GROUND      |  55|  95| 115|  45|  45|  35|
 76|GOLEM        |ROCK/GROUND      |  80| 110| 130|  55|  65|  45|HARD STONE (common), TM04 (rare)
 77|PONYTA       |FIRE             |  50|  85|  55|  65|  65|  90|
 78|RAPIDASH     |FIRE             |  65| 100|  70|  80|  80| 105|CALCIUM (common), TM07 (rare)
 79|SLOWPOKE     |WATER/PSYCHIC    |  90|  65|  65|  40|  40|  15|
 80|SLOWBRO      |WATER/PSYCHIC    |  95|  75| 110| 100|  80|  30|GOLD BERRY (common)
 81|MAGNEMITE    |ELECTRIC/STEEL   |  25|  35|  70|  95|  55|  45|
 82|MAGNETON     |ELECTRIC/STEEL   |  50|  60|  95| 120|  70|  70|SLOWPOKETAIL (rare)
 83|FARFETCH'D   |NORMAL/FLYING    |  52|  65|  55|  58|  62|  60|TM31 (rare)
 84|DODUO        |NORMAL/FLYING    |  35|  85|  45|  35|  35|  75|EVERSTONE (common), TM28 (rare)
 85|DODRIO       |NORMAL/FLYING    |  60| 110|  70|  60|  60| 100|TM47 (common)
 86|SEEL         |WATER            |  65|  45|  55|  45|  70|  45|
 87|DEWGONG      |WATER/ICE        |  90|  70|  80|  70|  95|  70|AWAKENING (common), TM18 (rare)
 88|GRIMER       |POISON           |  80|  80|  50|  40|  50|  25|
 89|MUK          |POISON           | 105| 105|  75|  65| 100|  50|TM30 (common), MOON STONE (rare)
 90|SHELLDER     |WATER            |  30|  65| 100|  45|  25|  40|BLACKGLASSES (common)
 91|CLOYSTER     |WATER/ICE        |  50|  95| 180|  85|  45|  70|
 92|GASTLY       |GHOST/POISON     |  30|  35|  30| 100|  35|  80|PARLYZ HEAL (rare)
 93|HAUNTER      |GHOST/POISON     |  45|  50|  45| 115|  55|  95|BERSERK GENE (common)
 94|GENGAR       |GHOST/POISON     |  60|  65|  60| 130|  75| 110|
 95|ONIX         |ROCK/GROUND      |  35|  45| 160|  30|  45|  70|
 96|DROWZEE      |PSYCHIC          |  60|  48|  45|  43|  90|  42|FRESH WATER (rare)
 97|HYPNO        |PSYCHIC          |  85|  73|  70|  73| 115|  67|WATER STONE (common)
 98|KRABBY       |WATER            |  30| 105|  90|  25|  25|  50|FRESH WATER (common)
 99|KINGLER      |WATER            |  55| 130| 115|  50|  50|  75|
100|VOLTORB      |ELECTRIC         |  40|  30|  50|  55|  55| 100|
101|ELECTRODE    |ELECTRIC         |  60|  50|  70|  80|  80| 140|
102|EXEGGCUTE    |GRASS/PSYCHIC    |  60|  40|  80|  60|  45|  40|
103|EXEGGUTOR    |GRASS/PSYCHIC    |  95|  95|  85| 125|  65|  55|
104|CUBONE       |GROUND           |  50|  50|  95|  40|  50|  35|
105|MAROWAK      |GROUND           |  60|  80| 110|  50|  80|  45|
106|HITMONLEE    |FIGHTING         |  50| 120|  53|  35| 110|  87|
107|HITMONCHAN   |FIGHTING         |  50| 105|  79|  35| 110|  76|MAX REPEL (rare)
108|LICKITUNG    |NORMAL           |  90|  55|  75|  60|  75|  30|
109|KOFFING      |POISON           |  40|  65|  95|  60|  45|  35|
110|WEEZING      |POISON           |  65|  90| 120|  85|  70|  60|ICE HEAL (rare)
111|RHYHORN      |GROUND/ROCK      |  80|  85|  95|  30|  30|  25|
112|RHYDON       |GROUND/ROCK      | 105| 130| 120|  45|  45|  40|SOFT SAND (common), ESCAPE ROPE (rare)
113|CHANSEY      |NORMAL           | 250|   5|   5|  35| 105|  50|
114|TANGELA      |GRASS            |  65|  55| 115| 100|  40|  60|SUPER REPEL (rare)
115|KANGASKHAN   |NORMAL           | 105|  95|  80|  40|  80|  90|
116|HORSEA       |WATER            |  30|  40|  70|  70|  25|  60|
117|SEADRA       |WATER            |  55|  65|  95|  95|  45|  85|SHARP BEAK (rare)
118|GOLDEEN      |WATER            |  45|  67|  60|  35|  50|  63|LOVE BALL (rare)
119|SEAKING      |WATER            |  80|  92|  65|  65|  80|  68|
120|STARYU       |WATER            |  30|  45|  55|  70|  55|  85|POISON BARB (common), POLKADOT BOW (rare)
121|STARMIE      |WATER/PSYCHIC    |  60|  75|  85| 100|  85| 115|
122|MR.MIME      |PSYCHIC          |  40|  45|  65| 100| 120|  90|
123|SCYTHER      |BUG/FLYING       |  70| 110|  80|  55|  80| 105|
124|JYNX         |ICE/PSYCHIC      |  65|  50|  35| 115|  95|  95|
125|ELECTABUZZ   |ELECTRIC         |  65|  83|  57|  95|  85| 105|
126|MAGMAR       |FIRE             |  65|  95|  57| 100|  85|  93|
127|PINSIR       |BUG              |  65| 125| 100|  55|  70|  85|TM45 (common)
128|TAUROS       |NORMAL           |  75| 100|  95|  40|  70| 110|TM32 (rare)
129|MAGIKARP     |WATER            |  20|  10|  55|  15|  20|  80|PROTEIN (common)
130|GYARADOS     |WATER/FLYING     |  95| 125|  79|  60| 100|  81|SMOKE BALL (rare)
131|LAPRAS       |WATER/ICE        | 130|  85|  80|  85|  95|  60|TINYMUSHROOM (common), NEVERMELTICE (rare)
132|DITTO        |NORMAL           |  48|  48|  48|  48|  48|  48|POTION (common)
133|EEVEE        |NORMAL           |  55|  55|  50|  45|  65|  55|TINYMUSHROOM (common)
134|VAPOREON     |WATER            | 130|  65|  60| 110|  95|  65|PINK BOW (common), TM48 (rare)
135|JOLTEON      |ELECTRIC         |  65|  65|  60| 110|  95| 130|TM35 (common), TM03 (rare)
136|FLAREON      |FIRE             |  65| 130|  60|  95| 110|  65|TM34 (common), TM05 (rare)
137|PORYGON      |NORMAL           |  65|  60|  70|  85|  75|  40|
138|OMANYTE      |ROCK/WATER       |  35|  40| 100|  90|  55|  35|
139|OMASTAR      |ROCK/WATER       |  70|  60| 125| 115|  70|  55|TM36 (common), MIRACLE SEED (rare)
140|KABUTO       |ROCK/WATER       |  30|  80|  90|  55|  45|  55|TM42 (common)
141|KABUTOPS     |ROCK/WATER       |  60| 115| 105|  65|  70|  80|
142|AERODACTYL   |ROCK/FLYING      |  80| 105|  65|  60|  75| 130|
143|SNORLAX      |NORMAL           | 160| 110|  65|  65| 110|  30|TM31 (common)
144|ARTICUNO     |ICE/FLYING       |  90|  85| 100|  95| 125|  85|TM17 (common), TM39 (rare)
145|ZAPDOS       |ELECTRIC/FLYING  |  90|  90|  85| 125|  90| 100|
146|MOLTRES      |FIRE/FLYING      |  90| 100|  90| 125|  85|  90|
147|DRATINI      |DRAGON           |  41|  64|  45|  50|  50|  50|TM26 (common), LEMONADE (rare)
148|DRAGONAIR    |DRAGON           |  61|  84|  65|  70|  70|  70|MAX REPEL (rare)
149|DRAGONITE    |DRAGON/FLYING    |  91| 134|  95| 100| 100|  80|
150|MEWTWO       |PSYCHIC          | 106| 110|  90| 154|  90| 130|
151|MEW          |PSYCHIC          | 100| 100| 100| 100| 100| 100|PINK BOW (common), PP UP (rare)
152|CHIKORITA    |GRASS            |  45|  49|  65|  49|  65|  45|
153|BAYLEEF      |GRASS            |  60|  62|  80|  63|  80|  60|
154|MEGANIUM     |GRASS            |  80|  82| 100|  83| 100|  80|TM12 (common)
155|CYNDAQUIL    |FIRE             |  39|  52|  43|  60|  50|  65|
156|QUILAVA      |FIRE             |  58|  64|  58|  80|  65|  80|
157|TYPHLOSION   |FIRE             |  78|  84|  78| 109|  85| 100|
158|TOTODILE     |WATER            |  50|  65|  64|  44|  48|  43|HARD STONE (common), QUICK CLAW (rare)
159|CROCONAW     |WATER            |  65|  80|  80|  59|  63|  58|
160|FERALIGATR   |WATER            |  85| 105| 100|  79|  83|  78|GOLD BERRY (common), TM47 (rare)
161|SENTRET      |NORMAL           |  35|  46|  34|  35|  45|  20|
162|FURRET       |NORMAL           |  85|  76|  64|  45|  55|  90|TM37 (common), MIRACLEBERRY (rare)
163|HOOTHOOT     |NORMAL/FLYING    |  60|  30|  30|  36|  56|  50|SLOWPOKETAIL (common)
164|NOCTOWL      |NORMAL/FLYING    | 100|  50|  50|  76|  96|  70|
165|LEDYBA       |BUG/FLYING       |  40|  20|  30|  40|  80|  55|
166|LEDIAN       |BUG/FLYING       |  55|  35|  50|  55| 110|  85|LEFTOVERS (common)
167|SPINARAK     |BUG/POISON       |  40|  60|  40|  40|  40|  30|SPELL TAG (rare)
168|ARIADOS      |BUG/POISON       |  70|  90|  70|  60|  60|  40|SCOPE LENS (common)
169|CROBAT       |POISON/FLYING    |  85|  90|  80|  70|  80| 130|IRON (common), MASTER BALL (rare)
170|CHINCHOU     |WATER/ELECTRIC   |  75|  38|  38|  56|  56|  67|
171|LANTURN      |WATER/ELECTRIC   | 125|  58|  58|  76|  76|  67|TM07 (rare)
172|PICHU        |ELECTRIC         |  20|  40|  15|  35|  35|  60|TM46 (common)
173|CLEFFA       |NORMAL           |  50|  25|  28|  45|  55|  15|
174|IGGLYBUFF    |NORMAL           |  90|  30|  15|  40|  20|  15|METAL COAT (rare)
175|TOGEPI       |NORMAL           |  35|  20|  65|  40|  65|  20|LEMONADE (common), UP-GRADE (rare)
176|TOGETIC      |NORMAL/FLYING    |  55|  40|  85|  80| 105|  40|FRIEND BALL (common)
177|NATU         |PSYCHIC/FLYING   |  40|  50|  45|  70|  45|  70|ENERGY ROOT (common), TM34 (rare)
178|XATU         |PSYCHIC/FLYING   |  65|  75|  70|  95|  70|  95|BRIGHTPOWDER (common), BIG MUSHROOM (rare)
179|MAREEP       |ELECTRIC         |  55|  40|  40|  65|  45|  35|
180|FLAAFFY      |ELECTRIC         |  70|  55|  55|  80|  60|  45|
181|AMPHAROS     |ELECTRIC         |  90|  75|  75| 115|  90|  55|
182|BELLOSSOM    |GRASS            |  75|  80|  85|  90| 100|  50|THUNDERSTONE (common)
183|MARILL       |WATER            |  70|  20|  50|  20|  50|  40|BIG MUSHROOM (common), CARBOS (rare)
184|AZUMARILL    |WATER            | 100|  50|  80|  50|  80|  50|
185|SUDOWOODO    |ROCK             |  70| 100| 115|  30|  65|  30|SUN STONE (rare)
186|POLITOED     |WATER            |  90|  75|  75|  90| 100|  70|
187|HOPPIP       |GRASS/FLYING     |  35|  35|  40|  35|  55|  50|ENERGY ROOT (common), TM25 (rare)
188|SKIPLOOM     |GRASS/FLYING     |  55|  45|  50|  45|  65|  80|PARLYZ HEAL (common), TM15 (rare)
189|JUMPLUFF     |GRASS/FLYING     |  75|  55|  70|  55|  85| 110|
190|AIPOM        |NORMAL           |  55|  70|  55|  40|  55|  85|ENERGY ROOT (rare)
191|SUNKERN      |GRASS            |  30|  30|  30|  30|  30|  30|REVIVAL HERB (common), TM18 (rare)
192|SUNFLORA     |GRASS            |  75|  75|  55| 105|  85|  30|EXP.SHARE (common)
193|YANMA        |BUG/FLYING       |  65|  65|  45|  75|  45|  95|
194|WOOPER       |WATER/GROUND     |  55|  45|  45|  25|  25|  15|
195|QUAGSIRE     |WATER/GROUND     |  95|  85|  85|  65|  65|  35|
196|ESPEON       |PSYCHIC          |  65|  65|  60| 130|  95| 110|
197|UMBREON      |DARK             |  95|  65| 110|  60| 130|  65|ANTIDOTE (rare)
198|MURKROW      |DARK/FLYING      |  60|  85|  42|  85|  42|  91|
199|SLOWKING     |WATER/PSYCHIC    |  95|  75|  80| 100| 110|  30|
200|MISDREAVUS   |GHOST            |  60|  60|  60|  85|  85|  85|
201|UNOWN        |PSYCHIC          |  48|  72|  48|  72|  48|  48|TM08 (rare)
202|WOBBUFFET    |PSYCHIC          | 190|  33|  58|  33|  58|  33|NEVERMELTICE (common), MAX ETHER (rare)
203|GIRAFARIG    |NORMAL/PSYCHIC   |  70|  80|  65|  90|  65|  85|FOCUS BAND (common)
204|PINECO       |BUG              |  50|  65|  90|  35|  35|  15|GREAT BALL (rare)
205|FORRETRESS   |BUG/STEEL        |  75|  90| 140|  60|  60|  40|
206|DUNSPARCE    |NORMAL           | 100|  70|  70|  65|  65|  45|
207|GLIGAR       |GROUND/FLYING    |  65|  75| 105|  35|  65|  85|
208|STEELIX      |STEEL/GROUND     |  75|  85| 200|  55|  65|  30|
209|SNUBBULL     |NORMAL           |  60|  80|  50|  40|  40|  30|
210|GRANBULL     |NORMAL           |  90| 120|  75|  60|  60|  45|
211|QWILFISH     |WATER/POISON     |  65|  95|  75|  55|  55|  85|
212|SCIZOR       |BUG/STEEL        |  70| 130| 100|  55|  80|  65|FIRE STONE (common)
213|SHUCKLE      |BUG/ROCK         |  20|  10| 230|  10| 230|   5|TM32 (common), MAX POTION (rare)
214|HERACROSS    |BUG/FIGHTING     |  80| 125|  75|  40|  95|  85|TM19 (rare)
215|SNEASEL      |DARK/ICE         |  55|  95|  55|  35|  75| 115|
216|TEDDIURSA    |NORMAL           |  60|  80|  50|  50|  50|  40|RARE CANDY (common)
217|URSARING     |NORMAL           |  90| 130|  75|  75|  75|  55|
218|SLUGMA       |FIRE             |  40|  40|  40|  70|  40|  20|
219|MAGCARGO     |FIRE/ROCK        |  50|  50| 120|  80|  80|  30|
220|SWINUB       |ICE/GROUND       |  50|  50|  40|  30|  30|  50|
221|PILOSWINE    |ICE/GROUND       | 100| 100|  80|  60|  60|  50|
222|CORSOLA      |WATER/ROCK       |  55|  55|  85|  65|  85|  35|
223|REMORAID     |WATER            |  35|  65|  35|  65|  35|  65|
224|OCTILLERY    |WATER            |  75| 105|  75| 105|  75|  45|
225|DELIBIRD     |ICE/FLYING       |  45|  55|  45|  65|  45|  75|
226|MANTINE      |WATER/FLYING     |  65|  40|  70|  80| 140|  70|
227|SKARMORY     |STEEL/FLYING     |  65|  80| 140|  40|  70|  70|PROTEIN (common), X DEFEND (rare)
228|HOUNDOUR     |DARK/FIRE        |  45|  60|  30|  80|  50|  65|IRON (common), DRAGON FANG (rare)
229|HOUNDOOM     |DARK/FIRE        |  75|  90|  50| 110|  80|  95|
230|KINGDRA      |WATER/DRAGON     |  75|  95|  95|  95|  95|  85|
231|PHANPY       |GROUND           |  90|  60|  60|  40|  40|  40|QUICK CLAW (common)
232|DONPHAN      |GROUND           |  90| 120| 120|  60|  60|  50|
233|PORYGON2     |NORMAL           |  85|  80|  90| 105|  95|  60|
234|STANTLER     |NORMAL           |  73|  95|  62|  85|  65|  85|SILVERPOWDER (common)
235|SMEARGLE     |NORMAL           |  55|  20|  35|  20|  45|  75|
236|TYROGUE      |FIGHTING         |  35|  35|  35|  35|  35|  35|TM23 (common), FULL HEAL (rare)
237|HITMONTOP    |FIGHTING         |  50|  95|  95|  35| 110|  70|
238|SMOOCHUM     |ICE/PSYCHIC      |  45|  30|  15|  85|  65|  65|MAX ELIXER (rare)
239|ELEKID       |ELECTRIC         |  45|  63|  37|  65|  55|  95|HYPER POTION (common), BITTER BERRY (rare)
240|MAGBY        |FIRE             |  45|  75|  37|  70|  55|  83|
241|MILTANK      |NORMAL           |  95|  80| 105|  40|  70| 100|
242|BLISSEY      |NORMAL           | 255|  10|  10|  75| 135|  55|
243|RAIKOU       |ELECTRIC         |  90|  85|  75| 115| 100| 115|TM34 (common), BIG PEARL (rare)
244|ENTEI        |FIRE             | 115| 115|  85|  90|  75| 100|
245|SUICUNE      |WATER            | 100|  75| 115|  90| 115|  85|
246|LARVITAR     |ROCK/GROUND      |  50|  64|  50|  45|  50|  41|
247|PUPITAR      |ROCK/GROUND      |  70|  84|  70|  65|  70|  51|X ATTACK (common)
248|TYRANITAR    |ROCK/DARK        | 100| 134| 110|  95| 100|  61|
249|LUGIA        |PSYCHIC/FLYING   | 106|  90| 130|  90| 154| 110|TM19 (common), ICE BERRY (rare)
250|HO-OH        |FIRE/FLYING      | 106| 130|  90| 110| 154|  90|
251|CELEBI       |PSYCHIC/GRASS    | 100| 100| 100| 100| 100| 100|

--Removing Impossible Evolutions--
POLIWHIRL       -> POLITOED        at level 37
KADABRA         -> ALAKAZAM        at level 37
MACHOKE         -> MACHAMP         at level 37
GRAVELER        -> GOLEM           at level 37
SLOWPOKE        -> SLOWKING        using a WATER STONE
HAUNTER         -> GENGAR          at level 37
ONIX            -> STEELIX         at level 30
SEADRA          -> KINGDRA         at level 40
SCYTHER         -> SCIZOR          at level 30
